old_url	new_url	collection	document_id	field	status
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/4fb6ef8a7dc26b70331c0ce77f790f45.png	(collected)	blogs	698c88421f9142744b7c296c	coverImage	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/12b27aab9f8e0e7fa9a23e565d8b8591.png	(collected)	blogs	698dd3bc1f9142744b7c2a88	coverImage	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/84f741a3c80c5fd3f00e234786248669.png	(collected)	blogs	698e1b9d1f9142744b7c2ac6	coverImage	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/specializations/c516b2fedc09a5d0c4d96ab154f99707.png	(collected)	specializations	696511077565db11c188d650	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/specializations/3075af9134364f74b70f1bb64a58b6af.png	(collected)	specializations	696ce40154860306431104c1	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/specializations/a83a55f531b906e7553c2df1967412bb.png	(collected)	specializations	696ce53754860306431104e7	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/specializations/dcc5308b7e36f58ef85affdf9c17b9bc.png	(collected)	specializations	6984c2a81f9142744b7c2475	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/aa8f2e0b39dd528c9eb13a4c8a3fede8.jpg	(collected)	hereimages	698059f51f9142744b7c2226	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/eaecb99a76b1747c26f649fe6306da61.png	(collected)	hereimages	698059f51f9142744b7c2226	mobileImageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/25a427d00660d6e2d0a13874658ef46c.png	(collected)	hereimages	698cc31f1f9142744b7c29d5	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/357961d97564bbbb6b5fd5f37282b6c3.png	(collected)	hereimages	698cc31f1f9142744b7c29d5	mobileImageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/a75f861900e77a6ed53939c92f7fb6ab.png	(collected)	hereimages	69904ab31f9142744b7c2b6a	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/dd7e1030a57ecf7dac7eebd9e81e43bf.png	(collected)	hereimages	69904ab31f9142744b7c2b6a	mobileImageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/d1cb4b2802985857f5121608f7d890c5.png	(collected)	hereimages	69be652fa210c4947d5dd68d	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/7e050e27d7fe319100bb8cdb3f77ee76.png	(collected)	hereimages	69be652fa210c4947d5dd68d	mobileImageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/4233dd474be73df5de95a9d4570aa9e6.png	(collected)	hereimages	69be6575a210c4947d5dd699	imageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/hero/3458bfd2ba25ca2b0ef6f3585cc1f8db.png	(collected)	hereimages	69be6575a210c4947d5dd699	mobileImageUrl	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/34331667e21459fb3c2bc03d64925305.png	(collected)	orders	69ddd54f885f9ffcf84bfd2a	orderItems[].image	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/eb97fe6ff0c5f0bf1beb0fd0ba37b437.png	(collected)	orders	69eb772b15de8392d35e5f6f	orderItems[].image	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/776f769aa6dcf074d44608e7239cb723.jpg	(collected)	orders	69eb772b15de8392d35e5f6f	orderItems[].image	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/fab1e99b41ab36d45e75a475c3bd61c0.png	(collected)	orders	6a29a60107777883d5ae25f0	orderItems[].image	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/b326c9c7b6af7ef3bb131b26de614c48.png	(collected)	orders	6a3f3f7907777883d5ae32df	orderItems[].image	verified
